Date;Kejernihan Langit;Suhu;Kecepatan Angin
01/12/2021;0.59;18.52;0.91
02/12/2021;0.45;18.6;0.62
03/12/2021;0.33;18.63;0.48
04/12/2021;0.67;19.22;0.76
05/12/2021;0.45;19.15;0.64
06/12/2021;0.51;19.49;0.55
07/12/2021;0.51;19.91;0.44
08/12/2021;0.56;20.72;0.71
09/12/2021;0.51;20.05;0.53
10/12/2021;0.42;20.09;0.56
11/12/2021;0.49;20.22;0.59
12/12/2021;0.51;20.07;0.59
13/12/2021;0.58;20.23;0.61
14/12/2021;0.48;20.08;0.48
15/12/2021;0.51;20.09;0.66
16/12/2021;0.45;19.66;0.73
17/12/2021;0.34;18.29;1.02
18/12/2021;0.23;18.91;0.68
19/12/2021;0.34;18.84;0.67
20/12/2021;0.15;19.34;1.48
21/12/2021;0.52;19.44;1.12
22/12/2021;0.61;20.29;0.67
23/12/2021;0.6;19.8;0.71
24/12/2021;0.66;19.9;0.71
25/12/2021;0.67;20.36;0.41
26/12/2021;0.66;20.24;0.82
27/12/2021;0.68;20.03;0.82
28/12/2021;0.66;19.3;0.87
29/12/2021;0.62;19.25;0.91
30/12/2021;0.52;19.6;0.81
31/12/2021;0.23;19.04;1.38
01/01/2022;0.26;18.84;0.94
02/01/2022;0.3;19.11;1.04
03/01/2022;0.45;19.1;0.72
04/01/2022;0.44;19.81;0.48
05/01/2022;0.53;20.35;0.56
06/01/2022;0.55;20.46;0.66
07/01/2022;0.61;19.83;0.42
08/01/2022;0.39;19.73;0.38
09/01/2022;0.44;19.75;0.52
10/01/2022;0.28;19.88;0.31
11/01/2022;0.62;19.74;0.55
12/01/2022;0.59;20.57;0.5
13/01/2022;0.5;19.84;1.04
14/01/2022;0.65;18.9;0.75
15/01/2022;0.62;20.33;0.59
16/01/2022;0.55;19.83;0.52
17/01/2022;0.52;19.32;0.59
18/01/2022;0.47;19.44;0.65
19/01/2022;0.48;19.65;0.39
20/01/2022;0.67;19.99;0.67
21/01/2022;0.59;20.12;0.61
22/01/2022;0.59;19.95;0.5
23/01/2022;0.61;19.63;0.46
24/01/2022;0.52;19.51;0.57
25/01/2022;0.54;19.65;0.48
26/01/2022;0.57;20.31;0.71
27/01/2022;0.62;20.89;0.62
28/01/2022;0.66;20.86;0.65
29/01/2022;0.62;20.74;0.8
30/01/2022;0.68;20.37;0.68
31/01/2022;0.6;20.76;0.45
01/02/2022;0.55;20.7;0.5
02/02/2022;0.49;20.35;0.57
03/02/2022;0.52;20.63;0.41
04/02/2022;0.46;20.47;0.46
05/02/2022;0.49;19.9;0.46
06/02/2022;0.48;19.3;0.3
07/02/2022;0.37;18.62;0.68
08/02/2022;0.6;18.86;0.7
09/02/2022;0.33;18.8;0.89
10/02/2022;0.32;18.84;0.84
11/02/2022;0.52;19.45;0.7
12/02/2022;0.52;19.96;0.8
13/02/2022;0.6;19.94;0.52
14/02/2022;0.48;20.42;0.43
15/02/2022;0.43;20.13;0.44
16/02/2022;0.36;19.58;0.86
17/02/2022;0.45;19.23;0.76
18/02/2022;0.47;19.31;0.93
19/02/2022;0.64;18.99;0.78
20/02/2022;0.7;19.76;0.5
21/02/2022;0.69;19.98;0.65
22/02/2022;0.54;20.4;0.7
23/02/2022;0.52;20.02;0.45
24/02/2022;0.46;19.09;0.88
25/02/2022;0.5;18.32;1.26
26/02/2022;0.38;19.01;1.22
27/02/2022;0.3;19.37;0.48
28/02/2022;0.47;19.51;0.52
01/03/2022;0.4;19.59;0.45
02/03/2022;0.54;20.22;0.41
03/03/2022;0.5;19.83;0.5
04/03/2022;0.54;20.11;0.71
05/03/2022;0.31;18.89;0.99
06/03/2022;0.46;19.65;0.65
07/03/2022;0.47;19.56;0.48
08/03/2022;0.41;19.36;0.48
09/03/2022;0.53;20.3;0.47
10/03/2022;0.38;19.3;0.52
11/03/2022;0.51;20.18;0.48
12/03/2022;0.55;20.87;0.72
13/03/2022;0.55;21.02;0.67
14/03/2022;0.47;20.05;0.78
15/03/2022;0.55;20.33;0.61
16/03/2022;0.44;20.49;0.48
17/03/2022;0.4;20.31;0.56
18/03/2022;0.5;20.26;0.96
19/03/2022;0.31;19.01;1.17
20/03/2022;0.36;18.57;1.59
21/03/2022;0.4;17.99;1.47
22/03/2022;0.6;18.76;1.06
23/03/2022;0.52;19.52;0.69
24/03/2022;0.5;20.09;0.55
25/03/2022;0.51;20.49;0.57
26/03/2022;0.53;20.49;0.66
27/03/2022;0.61;21.29;0.59
28/03/2022;0.56;20.9;0.78
29/03/2022;0.51;21.08;0.55
30/03/2022;0.55;20.96;0.77
31/03/2022;0.49;19.87;0.6
01/04/2022;0.59;20.26;0.78
02/04/2022;0.48;19.76;0.76
03/04/2022;0.29;18.98;0.73
04/04/2022;0.52;19.39;0.48
05/04/2022;0.36;19.33;0.73
06/04/2022;0.38;19.82;0.71
07/04/2022;0.45;19.76;0.56
08/04/2022;0.5;19.99;0.55
09/04/2022;0.54;19.8;0.75
10/04/2022;0.56;21.08;0.7
11/04/2022;0.48;19.95;0.56
12/04/2022;0.61;20.12;0.3
13/04/2022;0.53;20.57;0.43
14/04/2022;0.61;21.3;0.73
15/04/2022;0.59;21.28;0.71
16/04/2022;0.63;21.3;0.62
17/04/2022;0.54;20.88;0.87
18/04/2022;0.56;20.85;0.78
19/04/2022;0.48;21.05;0.7
20/04/2022;0.47;20.1;0.53
21/04/2022;0.52;20.7;0.44
22/04/2022;0.54;20.97;0.66
23/04/2022;0.37;20.51;0.45
24/04/2022;0.55;21.27;0.57
25/04/2022;0.48;20.96;0.62
26/04/2022;0.4;19.58;0.75
27/04/2022;0.52;20.79;0.72
28/04/2022;0.53;21.61;0.64
29/04/2022;0.45;20.73;0.78
30/04/2022;0.55;20.46;0.58
01/05/2022;0.34;20.5;0.83
02/05/2022;0.46;20.24;0.6
03/05/2022;0.38;19.44;0.87
04/05/2022;0.46;19.73;0.88
05/05/2022;0.29;20.06;0.96
06/05/2022;0.33;20.18;1.02
07/05/2022;0.48;20.37;0.82
08/05/2022;0.48;20.55;0.7
09/05/2022;0.3;20.79;0.83
10/05/2022;0.54;20.71;0.77
11/05/2022;0.3;19.86;0.8
12/05/2022;0.55;19.63;1.15
13/05/2022;0.59;19.84;0.96
14/05/2022;0.48;20.9;0.55
15/05/2022;0.45;20.68;0.68
16/05/2022;0.41;20.01;0.67
17/05/2022;0.61;20.78;0.61
18/05/2022;0.61;20.8;0.7
19/05/2022;0.58;20.71;0.84
20/05/2022;0.6;20.01;0.98
21/05/2022;0.56;19.78;1.16
22/05/2022;0.44;19.81;0.99
23/05/2022;0.57;20.12;0.72
24/05/2022;0.59;20.23;0.8
25/05/2022;0.36;19.14;1.1
26/05/2022;0.6;19.05;1.34
27/05/2022;0.57;18.93;1.3
28/05/2022;0.46;18.92;1.59
29/05/2022;0.39;18.67;1.13
30/05/2022;0.56;19.24;1.19
31/05/2022;0.39;19.21;1.35
01/06/2022;0.36;17.51;1.12
02/06/2022;0.41;17.79;1.28
03/06/2022;0.43;18.31;1.07
04/06/2022;0.58;18.78;0.66
05/06/2022;0.45;19.6;0.59
06/06/2022;0.43;18.31;0.6
07/06/2022;0.46;18.37;0.57
08/06/2022;0.6;19.58;0.56
09/06/2022;0.52;20.25;0.52
10/06/2022;0.24;19.37;0.64
11/06/2022;0.52;19.87;0.54
12/06/2022;0.39;20.24;0.54
13/06/2022;0.63;20.33;0.61
14/06/2022;0.45;19.71;0.52
15/06/2022;0.41;19.08;0.86
16/06/2022;0.59;19.26;0.64
17/06/2022;0.53;20.45;0.54
18/06/2022;0.42;19.97;0.68
19/06/2022;0.42;19.67;0.67
20/06/2022;0.46;20.29;0.46
21/06/2022;0.41;19.4;0.77
22/06/2022;0.46;19.12;0.6
23/06/2022;0.35;19.23;0.7
24/06/2022;0.43;19.19;0.9
25/06/2022;0.66;19.32;0.9
26/06/2022;0.44;18.49;0.8
27/06/2022;0.51;19.01;0.77
28/06/2022;0.44;18.76;0.99
29/06/2022;0.46;18.94;1.33
30/06/2022;0.58;18.38;1.6
01/07/2022;0.55;18.02;1.22
02/07/2022;0.3;19.09;1.54
03/07/2022;0.48;17.69;1.26
04/07/2022;0.32;18.55;1.45
05/07/2022;0.45;18.4;1.15
06/07/2022;0.64;18.53;0.97
07/07/2022;0.67;19.24;1.3
08/07/2022;0.55;18.72;1.33
09/07/2022;0.51;18.01;1.29
10/07/2022;0.43;18.69;1.44
11/07/2022;0.44;19.01;1.61
12/07/2022;0.3;18.68;1.25
13/07/2022;0.53;19.23;1.06
14/07/2022;0.55;19.76;0.98
15/07/2022;0.68;19.5;0.95
16/07/2022;0.59;19.2;0.9
17/07/2022;0.6;19.22;0.62
18/07/2022;0.69;20.01;0.77
19/07/2022;0.37;19.45;0.92
20/07/2022;0.65;19.56;0.95
21/07/2022;0.43;19.59;0.76
22/07/2022;0.55;19.87;0.65
23/07/2022;0.55;20.78;0.8
24/07/2022;0.41;20.23;0.77
25/07/2022;0.41;19.83;0.47
26/07/2022;0.49;19.93;0.66
27/07/2022;0.34;19.66;0.89
28/07/2022;0.47;19.65;0.73
29/07/2022;0.47;18.37;1.3
30/07/2022;0.46;18;1.09
31/07/2022;0.59;19.84;0.76
01/08/2022;0.46;19.94;0.53
02/08/2022;0.22;18.92;0.94
03/08/2022;0.27;17.83;1.07
04/08/2022;0.46;18.23;0.98
05/08/2022;0.53;19.41;1.12
06/08/2022;0.38;18.82;1.02
07/08/2022;0.62;18.6;1.11
08/08/2022;0.62;18.51;1.09
09/08/2022;0.52;18.87;0.96
10/08/2022;0.62;20.19;0.77
11/08/2022;0.61;20.23;0.74
12/08/2022;0.58;19.83;0.88
13/08/2022;0.53;19.73;0.66
14/08/2022;0.55;20.58;0.64
15/08/2022;0.39;19.01;0.77
16/08/2022;0.45;19.46;0.81
17/08/2022;0.54;19.69;0.53
18/08/2022;0.47;19.97;0.34
19/08/2022;0.53;20.68;0.5
20/08/2022;0.54;19.2;0.79
21/08/2022;0.41;18.55;0.99
22/08/2022;0.41;18.81;0.99
23/08/2022;0.42;19.29;0.73
24/08/2022;0.45;19.83;0.91
25/08/2022;0.27;19.19;1.05
26/08/2022;0.37;18.54;1.23
27/08/2022;0.37;18.73;0.71
28/08/2022;0.4;19.44;0.62
29/08/2022;0.48;19.51;0.36
30/08/2022;0.39;19.28;0.46
31/08/2022;0.46;19.33;0.67
01/09/2022;0.27;19.03;0.77
02/09/2022;0.46;18.81;1.15
03/09/2022;0.41;18.87;1.08
04/09/2022;0.53;18.94;1.2
05/09/2022;0.51;19.29;0.92
06/09/2022;0.41;19.53;0.91
07/09/2022;0.36;17.69;1.12
08/09/2022;0.32;19.15;0.98
09/09/2022;0.69;20.13;0.54
10/09/2022;0.6;20.05;0.57
11/09/2022;0.43;20.12;0.67
12/09/2022;0.62;20.05;0.73
13/09/2022;0.59;19.52;0.8
14/09/2022;0.52;18.31;0.74
15/09/2022;0.51;19;0.77
16/09/2022;0.54;19.76;0.96
17/09/2022;0.48;20.01;0.86
18/09/2022;0.48;18.76;1.25
19/09/2022;0.59;18.55;1.04
20/09/2022;0.55;18.46;0.81
21/09/2022;0.45;19.37;1
22/09/2022;0.55;18.45;1.06
23/09/2022;0.49;18.86;0.95
24/09/2022;0.54;18.9;1.16
25/09/2022;0.48;18.83;0.99
26/09/2022;0.48;19.19;0.95
27/09/2022;0.41;18.9;1.29
28/09/2022;0.3;18.65;1.67
29/09/2022;0.36;18.39;1.59
30/09/2022;0.38;19.01;0.98
01/10/2022;0.34;18.55;1
02/10/2022;0.48;18.99;0.84
03/10/2022;0.35;19.06;0.93
04/10/2022;0.38;18.79;0.84
05/10/2022;0.37;18.2;0.93
06/10/2022;0.38;19.04;0.91
07/10/2022;0.29;18.44;0.85
08/10/2022;0.54;18.76;0.67
09/10/2022;0.34;19.28;0.7
10/10/2022;0.61;19.74;0.84
11/10/2022;0.59;19.75;0.87
12/10/2022;0.55;19.15;0.71
13/10/2022;0.46;19.64;0.93
14/10/2022;0.43;19.41;1.05
15/10/2022;0.43;18.69;1.53
16/10/2022;0.27;18.7;1.28
17/10/2022;0.46;18.55;1.21
18/10/2022;0.34;18.2;1.31
19/10/2022;0.37;18.07;1.53
20/10/2022;0.38;19.03;1.31
21/10/2022;0.4;19.12;1.26
22/10/2022;0.3;19;0.85
23/10/2022;0.49;19.09;0.59
24/10/2022;0.48;19.15;0.84
25/10/2022;0.41;19.48;0.91
26/10/2022;0.27;19.41;0.73
27/10/2022;0.38;19.36;0.87
28/10/2022;0.46;19.67;0.62
29/10/2022;0.47;19.68;0.52
30/10/2022;0.35;19.43;0.55
31/10/2022;0.46;19.15;0.9
01/11/2022;0.48;19.52;0.79
02/11/2022;0.46;19.55;0.7
03/11/2022;0.39;20.06;0.52
04/11/2022;0.35;19.15;0.83
05/11/2022;0.45;19.37;0.73
06/11/2022;0.56;19.31;0.83
07/11/2022;0.34;18.78;0.9
08/11/2022;0.47;18.87;0.62
09/11/2022;0.43;19.85;0.76
10/11/2022;0.32;19.12;1.05
11/11/2022;0.28;18.59;1.3
12/11/2022;0.35;18.97;0.92
13/11/2022;0.29;19.34;0.55
14/11/2022;0.33;19.49;0.92
15/11/2022;0.41;19.26;1.16
16/11/2022;0.41;18.91;1.27
17/11/2022;0.45;18.08;1.18
18/11/2022;0.45;18.05;0.98
19/11/2022;0.41;18.09;1.02
20/11/2022;0.5;18.37;1.02
21/11/2022;0.48;19.47;1.13
22/11/2022;0.45;19.41;1.27
23/11/2022;0.55;17.72;1.47
24/11/2022;0.38;17.65;1.57
25/11/2022;0.44;17.38;1.35
26/11/2022;0.54;17.71;0.96
27/11/2022;0.57;18.82;0.62
28/11/2022;0.52;19.78;0.58
29/11/2022;0.36;20;0.67
30/11/2022;0.47;20.25;0.69
01/12/2022;0.41;19.59;0.6
02/12/2022;0.43;18.76;0.75
03/12/2022;0.31;19.06;0.68
04/12/2022;0.42;19.3;0.7
05/12/2022;0.34;19.05;0.99
06/12/2022;0.35;18.5;0.91
07/12/2022;0.51;18.96;0.77
08/12/2022;0.4;18.87;0.91
09/12/2022;0.29;17.62;0.84
10/12/2022;0.25;18.34;1.35
11/12/2022;0.28;17.95;0.91
12/12/2022;0.23;18.65;0.77
13/12/2022;0.36;18.9;0.54
14/12/2022;0.27;18.64;0.64
15/12/2022;0.43;19.51;0.6
16/12/2022;0.51;20.32;0.63
17/12/2022;0.46;19.74;0.82
18/12/2022;0.36;18.43;0.75
19/12/2022;0.52;19.53;0.5
20/12/2022;0.32;19.58;0.48
21/12/2022;0.46;18.99;0.77
22/12/2022;0.45;19.15;0.66
23/12/2022;0.56;20.08;0.8
24/12/2022;0.55;19.69;0.66
25/12/2022;0.54;19.99;0.41
26/12/2022;0.5;19.67;0.43
27/12/2022;0.33;20.16;0.7
28/12/2022;0.47;19.89;0.58
29/12/2022;0.42;19.72;0.62
30/12/2022;0.52;19.77;0.54
31/12/2022;0.59;19.52;0.73
01/01/2023;0.61;20;0.61
02/01/2023;0.58;19.73;0.63
03/01/2023;0.54;19.81;0.64
04/01/2023;0.58;19.31;0.75
05/01/2023;0.52;19.12;1.22
06/01/2023;0.52;19.08;0.94
07/01/2023;0.45;19.06;0.48
08/01/2023;0.45;19.33;0.59
09/01/2023;0.6;19.76;0.62
10/01/2023;0.57;19.54;0.69
11/01/2023;0.56;19.11;0.71
12/01/2023;0.53;19.77;0.61
13/01/2023;0.53;19.37;0.55
14/01/2023;0.47;19.69;0.45
15/01/2023;0.48;19.55;0.84
16/01/2023;0.54;19.4;1.04
17/01/2023;0.45;16.7;1.24
18/01/2023;0.5;18.08;0.87
19/01/2023;0.55;19.63;1.15
20/01/2023;0.48;19.3;0.79
21/01/2023;0.12;18.81;0.92
22/01/2023;0.38;18.55;0.84
23/01/2023;0.28;18.62;0.9
24/01/2023;0.37;18.02;0.74
25/01/2023;0.49;19.51;0.63
26/01/2023;0.48;19.65;0.41
27/01/2023;0.39;18.89;0.45
28/01/2023;0.5;18.86;0.66
29/01/2023;0.49;19.53;0.63
30/01/2023;0.48;19.21;0.35
31/01/2023;0.42;18.44;0.54
01/02/2023;0.55;18.48;0.55
02/02/2023;0.56;19.65;0.65
03/02/2023;0.51;19.74;0.8
04/02/2023;0.45;20.36;0.58
05/02/2023;0.39;19.99;0.59
06/02/2023;0.44;19.23;0.5
07/02/2023;0.42;19.75;0.59
08/02/2023;0.47;19.72;0.5
09/02/2023;0.48;20.55;0.57
10/02/2023;0.24;19.47;0.62
11/02/2023;0.45;19.19;0.55
12/02/2023;0.52;20.28;0.75
13/02/2023;0.42;20.13;0.45
14/02/2023;0.49;20.08;0.64
15/02/2023;0.55;19.32;0.66
16/02/2023;0.46;19.58;0.77
17/02/2023;0.44;20.04;0.61
18/02/2023;0.55;20.5;0.84
19/02/2023;0.51;20.1;0.92
20/02/2023;0.64;19.75;0.81
21/02/2023;0.58;19.01;0.49
22/02/2023;0.54;19.96;0.35
